d_inicial,d_min,passo_min,fracao,d_final,recuou,caminho,passos,recolhas,Algorithm,Run,Episode
121.69991334482242,112.26559876977151,408,0.07752112812373069,120.65382386916238,8.388225099390866,339.9978892931745,2000,0,SAC,1,0
123.29991334482244,96.7293505963452,1276,0.21549538866397733,98.49503602129445,1.765685424949254,322.5203751028382,2000,0,SAC,1,1
122.92834046956858,99.39209229614215,246,0.19146315718182927,100.96366517139603,1.571572875253878,330.5504766774285,2000,0,SAC,1,2
121.69991334482242,82.83818177180194,708,0.3193242337232428,83.63818177180195,0.8000000000000114,347.4264052269908,2000,0,SAC,2,0
123.29991334482244,82.20386719675116,348,0.33330150065184105,84.1352380466497,1.931370849898542,331.7762288297821,2000,0,SAC,2,1
122.92834046956858,80.13523804664965,1220,0.3481142123895551,80.53523804664965,0.4000000000000057,336.5256256827364,2000,0,SAC,2,2
121.69991334482242,62.090158697766356,1724,0.4898093433982884,62.724473272817114,0.6343145750507588,241.95440681694362,2000,0,SAC,3,0
123.29991334482244,81.73523804664967,777,0.33710222635706455,83.33523804664969,1.6000000000000227,250.423340422829,2000,0,SAC,3,1
122.92834046956858,83.73523804664964,1780,0.318828858123415,84.30092347159888,0.5656854249492369,289.2409968928725,2000,0,SAC,3,2
121.69991334482242,67.52447327281715,1399,0.4451559461550767,67.85584412271561,0.33137084989846244,408.49351862788956,2000,0,SAC,4,0
123.29991334482244,82.03818177180193,826,0.33464526011163787,83.07249634685272,1.0343145750507858,405.88097856093316,2000,0,SAC,4,1
122.92834046956858,83.47249634685272,537,0.32096621472314857,83.87249634685273,0.4000000000000057,391.70025683264515,2000,0,SAC,4,2
121.69991334482242,66.95878784786791,1974,0.44980414523264245,66.95878784786791,0.0,253.7517723711697,2000,0,SAC,5,0
123.29991334482244,68.49015869776639,1282,0.44452386997040494,72.09015869776644,3.600000000000051,287.34782318137803,2000,0,SAC,5,1
122.92834046956858,65.45584412271559,1940,0.46752844891028644,65.62152954766482,0.16568542494923122,276.1177640707734,2000,0,SAC,5,2
121.69991334482242,97.06072144624366,116,0.20245858210898227,99.39209229614215,2.331370849898491,299.66257677198263,2000,0,SAC,6,0
123.29991334482244,97.1293505963452,155,0.21225126635156866,99.62640687119293,2.497056274847722,292.63264314663894,2000,0,SAC,6,1
122.92834046956858,96.99209229614212,121,0.21098672669258955,100.66072144624371,3.6686291501015944,309.15531883745206,2000,0,SAC,6,2
121.69991334482242,75.24995667241109,1998,0.3816761688301358,75.41564209736032,0.16568542494923122,299.974409177916,2000,0,SAC,7,0
123.29991334482244,112.66559876977152,289,0.08624754297523984,118.39108216936543,5.725483399593912,329.9714613362338,2000,0,SAC,7,1
122.92834046956858,77.14112549695417,1958,0.37247078092581276,77.51269837220804,0.37157287525386096,283.258439339544,2000,0,SAC,7,2
121.69991334482242,57.52447327281713,1642,0.5273252733563721,58.32447327281713,0.7999999999999972,472.12663292508535,2000,0,SAC,8,0
123.29991334482244,77.80386719675116,1186,0.368986846088337,79.26660889654809,1.4627416997969362,511.212168357478,2000,0,SAC,8,1
122.92834046956858,46.46173157302022,1813,0.622042147518277,49.59310242291868,3.1313708498984667,448.8178518405031,2000,0,SAC,8,2
121.69991334482242,94.16366517139593,1545,0.22626349860583517,96.52346314604057,2.3597979746446356,363.08839708089147,2000,0,SAC,9,0
123.29991334482244,103.11757569573604,1398,0.16368492970991932,105.48914857098993,2.3715728752538894,374.5588392102518,2000,0,SAC,9,1
122.92834046956858,97.25483399593904,1472,0.2088493700928561,98.9234631460406,1.668629150101566,368.3028516143826,2000,0,SAC,9,2
121.69991334482242,80.83818177180191,1434,0.3357580991635022,85.10092347159895,4.262741699797033,356.37462303868045,2000,0,SAC,10,0
123.29991334482244,80.13523804664965,830,0.35007871560669956,83.50092347159892,3.3656854249492767,351.03914856917964,2000,0,SAC,10,1
122.92834046956858,95.06072144624363,458,0.22669808212552656,95.62640687119287,0.5656854249492369,323.5221795048343,2000,0,SAC,10,2
121.69991334482242,118.43128419472083,1946,0.02685810581343895,118.92834046956852,0.49705627484769366,514.624596408007,2000,0,SAC,11,0
123.29991334482244,120.52834046956855,1362,0.022478303512694864,122.15676759431472,1.6284271247461675,532.0285976673115,2000,0,SAC,11,1
122.92834046956858,120.0999133448224,1465,0.023008747323375545,120.92834046956855,0.8284271247461561,545.4036775082664,2000,0,SAC,11,2
121.69991334482242,63.29015869776635,1813,0.479949024134133,63.29015869776635,0.0,316.5549248641921,2000,0,SAC,12,0
123.29991334482244,81.4724963468527,1922,0.33923314188384346,82.83818177180194,1.3656854249492483,329.8586013469984,2000,0,SAC,12,1
122.92834046956858,63.52447327281711,1819,0.48323980434322333,64.09015869776636,0.565685424949244,320.33054518119576,2000,0,SAC,12,2
121.69991334482242,66.32447327281713,1776,0.45501626541923235,66.32447327281713,0.0,337.0209507865183,2000,0,SAC,13,0
123.29991334482244,67.35878784786792,1120,0.4536996335148161,71.35878784786797,4.000000000000057,350.8402692586129,2000,0,SAC,13,1
122.92834046956858,63.12447327281711,1693,0.4864937325950167,63.12447327281711,0.0,320.60313588565816,2000,0,SAC,13,2
121.69991334482242,79.40386719675118,1270,0.34754376552619526,81.40386719675121,2.0000000000000284,422.2750426737445,2000,0,SAC,14,0
123.29991334482244,94.66072144624363,825,0.2322726036188364,95.22640687119286,0.5656854249492369,424.05289635807924,2000,0,SAC,14,1
122.92834046956858,64.55878784786788,1481,0.4748258408007251,65.7587878478679,1.200000000000017,444.09169774989124,2000,0,SAC,14,2
121.69991334482242,60.72447327281712,1553,0.5010310886519578,62.324473272817116,1.5999999999999943,267.4774155455731,2000,0,SAC,15,0
123.29991334482244,67.12447327281714,1995,0.4555999963674281,67.12447327281714,0.0,308.690710648355,2000,0,SAC,15,1
122.92834046956858,61.29015869776636,1437,0.5014155526411016,63.12447327281711,1.8343145750507546,332.08395579315095,2000,0,SAC,15,2
121.69991334482242,94.09503602129439,824,0.2268274197148592,96.3293505963452,2.234314575050803,425.6540616170393,2000,0,SAC,16,0
123.29991334482244,60.158787847867885,1573,0.5120938351381733,60.72447327281712,0.5656854249492369,429.2110983706354,2000,0,SAC,16,1
122.92834046956858,80.13523804664965,703,0.3481142123895551,80.86660889654812,0.7313708498984681,423.4859775917902,2000,0,SAC,16,2
121.69991334482242,65.05584412271558,767,0.4654405057924118,66.18721497261406,1.1313708498984738,307.44166563896096,2000,0,SAC,17,0
123.29991334482244,62.65584412271559,388,0.4918419451967392,63.85584412271559,1.1999999999999957,306.94943221888775,2000,0,SAC,17,1
122.92834046956858,64.02152954766483,1515,0.47919634070457806,64.82152954766482,0.7999999999999972,333.4302910612356,2000,0,SAC,17,2
121.69991334482242,99.69503602129447,265,0.18081259648213321,119.85382386916237,20.1587878478679,260.5959943908316,2000,0,SAC,18,0
123.29991334482244,94.72935059634517,1662,0.23171600022602123,96.89503602129443,2.1656854249492596,285.411940473672,2000,0,SAC,18,1
122.92834046956858,98.38620484583751,246,0.19964587116350585,100.89503602129449,2.508831175456976,272.03618822812643,2000,0,SAC,18,2
121.69991334482242,97.95777772109136,246,0.19508753105238874,101.6950360212945,3.7372583002031377,295.8988794420805,2000,0,SAC,19,0
123.29991334482244,97.95777772109136,242,0.2055324690525846,101.86072144624373,3.902943725152369,295.42565529668366,2000,0,SAC,19,1
122.92834046956858,98.0264068711929,250,0.2025727631500911,100.49503602129448,2.4686291501015774,297.76838951650114,2000,0,SAC,19,2
121.69991334482242,61.52447327281712,1517,0.49445754247585416,62.89015869776635,1.365685424949234,330.87091993137193,2000,0,SAC,20,0
123.29991334482244,61.4558441227156,1982,0.5015743121339653,62.021529547664834,0.5656854249492369,343.98988784777015,2000,0,SAC,20,1
122.92834046956858,78.7411254969542,421,0.35945506791863924,82.63229432149737,3.891168824543172,329.9610946231427,2000,0,SAC,20,2
121.69991334482242,96.09503602129442,1175,0.21039355427459994,96.66072144624366,0.5656854249492369,319.8075686363519,2000,0,SAC,21,0
123.29991334482244,96.89503602129443,722,0.21415162920418063,98.09503602129445,1.200000000000017,328.19596986830476,2000,0,SAC,21,1
122.92834046956858,80.13523804664965,1111,0.3481142123895551,80.30092347159888,0.16568542494923122,320.91255806598804,2000,0,SAC,21,2
