d_inicial,d_min,passo_min,fracao,d_final,recuou,caminho,passos,recolhas,Algorithm,Run,Episode
121.69991334482242,91.03229432149743,484,0.25199376220122593,131.19797974644723,40.1656854249498,374.98290523050645,2000,0,GNN,1,0
123.29991334482244,0.0,1835,1.0,1.6,1.6,378.0690343768762,2000,9,GNN,1,1
122.92834046956858,0.0,1868,1.0,1.6,1.6,376.2677637308918,2000,10,GNN,1,2
121.69991334482242,21.022539674441614,1994,0.8272592058888595,21.022539674441614,0.0,305.78188383911294,2000,0,GNN,2,0
123.29991334482244,15.46274169979696,1997,0.87459243660169,15.46274169979696,0.0,307.52443398216724,2000,0,GNN,2,1
122.92834046956858,22.250966799187804,1915,0.8189923762560178,22.388225099390848,0.13725830020304386,311.0140605239876,2000,0,GNN,2,2
121.69991334482242,66.65584412271559,1999,0.45229341344020446,66.65584412271559,0.0,152.80298487440854,2000,0,GNN,3,0
123.29991334482244,68.49015869776639,1997,0.44452386997040494,68.49015869776639,0.0,154.6836907339246,2000,0,GNN,3,1
122.92834046956858,68.15878784786793,2000,0.44554048653458467,68.15878784786793,0.0,153.641643736967,2000,0,GNN,3,2
121.69991334482242,58.89015869776637,1999,0.5161035281027029,58.89015869776637,0.0,325.69654023522423,2000,0,GNN,4,0
123.29991334482244,62.42152954766483,1999,0.49374230804935104,62.42152954766483,0.0,318.32812814809006,2000,0,GNN,4,1
122.92834046956858,69.7872149726141,1999,0.43229352396658927,70.1872149726141,0.4000000000000057,317.1710306220617,2000,0,GNN,4,2
121.69991334482242,56.5587878478679,1918,0.5352602455219897,57.358787847867895,0.7999999999999972,298.91770901380806,2000,0,GNN,5,0
123.29991334482244,57.124473272817134,1962,0.5367030541776461,58.25584412271561,1.1313708498984738,294.7475696467073,2000,0,GNN,5,1
122.92834046956858,74.58721497261416,2000,0.3932463849450686,74.58721497261416,0.0,293.7097853410381,2000,0,GNN,5,2
121.69991334482242,57.124473272817134,1840,0.530612046444424,58.55878784786789,1.434314575050756,360.3074542578093,2000,0,GNN,6,0
123.29991334482244,57.358787847867895,1933,0.5348026913250343,57.92447327281713,0.5656854249492369,360.4462842550705,2000,0,GNN,6,1
122.92834046956858,61.4558441227156,1994,0.5000677314282198,61.621529547664835,0.16568542494923832,363.8108927528209,2000,0,GNN,6,2
121.69991334482242,73.69015869776646,1993,0.39449292384478496,73.69015869776646,0.0,333.1214769839352,2000,0,GNN,7,0
123.29991334482244,75.48427124746186,1971,0.3877994785254927,75.5529003975634,0.06862915010154325,332.84721749840753,2000,0,GNN,7,1
122.92834046956858,76.97544007200494,1983,0.37381860213869456,77.37544007200495,0.4000000000000057,332.4424848457188,2000,0,GNN,7,2
121.69991334482242,67.69015869776638,1997,0.44379452016556287,68.02152954766484,0.33137084989846244,414.43769748715187,2000,0,GNN,8,0
123.29991334482244,72.09015869776644,1984,0.41532676915872613,72.25584412271567,0.16568542494923122,413.05820775205746,2000,0,GNN,8,1
122.92834046956858,74.49015869776647,1996,0.39403592033192036,74.72447327281725,0.23431457505077447,413.09360513356086,2000,0,GNN,8,2
121.69991334482242,68.32447327281716,1940,0.43858239997897297,69.2901586977664,0.9656854249492426,467.3034748051542,2000,0,GNN,9,0
123.29991334482244,68.15878784786793,2000,0.44721138888999856,68.15878784786793,0.0,478.67966932135704,2000,0,GNN,9,1
122.92834046956858,69.05584412271563,1994,0.438243094644146,69.22152954766486,0.16568542494923122,479.9130825994372,2000,0,GNN,9,2
121.69991334482242,0.4,1527,0.9967132269119482,1.5313708498984764,1.1313708498984765,353.7440345754833,2000,10,GNN,10,0
123.29991334482244,0.4,1620,0.9967558776875913,0.9656854249492381,0.5656854249492381,349.24974130213,2000,10,GNN,10,1
122.92834046956858,0.0,1674,1.0,0.9656854249492381,0.9656854249492381,360.4748867931016,2000,12,GNN,10,2
121.69991334482242,0.0,1687,1.0,15.313708498984766,15.313708498984766,404.6738918520324,2000,3,GNN,11,0
123.29991334482244,0.9656854249492381,1427,0.9921679959153857,25.604877323527877,24.639191898578638,408.1426027738762,2000,7,GNN,11,1
122.92834046956858,1.1313708498984762,1421,0.9907965010706498,24.57056274847712,23.439191898578642,399.6476270613167,2000,9,GNN,11,2
