timestep,best_fitness,avg_fitness,best_task_food,time
197450,178.88316842892183,53.15802405933178,0.0,292.36469054222107
374650,263.92594111455406,121.31022411525815,0.0,561.3907516002655
522250,301.18565204176014,133.63327246176257,0.0,812.4019842147827
671700,301.18565204176014,140.53369515460162,0.0,1066.6045219898224
837800,331.8224109824885,137.01673446808795,0.0,1332.6881289482117
983550,331.8224109824885,135.64744824332132,0.0,1601.0628283023834
1118200,368.94146938799025,139.23919665142893,0.0,1851.5760488510132
1284300,446.64022917051346,171.38218445570493,0.0,2108.8570189476013
1450400,446.64022917051346,179.56806058604573,0.0,2385.93554353714
1601700,387.31911104792806,151.13050529917848,0.0,2665.6381361484528
1760400,437.7488515674018,184.54046999447868,0.0,2919.5416662693024
1908000,616.1727815536342,239.26565722621675,0.0,3177.056496143341
2064850,616.1727815536342,161.26814115494102,0.0,3430.8597419261932
2229100,705.9453257224336,233.47999160084584,0.0,3697.3579638004303
2397050,862.6274206950662,324.0380033480105,0.0,3971.590788125992
2577950,928.2226585812933,282.63391402649813,0.0,4239.048561573029
2758850,928.2226585812933,367.2865750722029,0.0,4510.354420185089
2921250,928.2226585812933,380.9864157389985,0.0,4779.852868318558
3111400,928.2226585812933,405.0555442642729,0.0,5055.057418346405
3288600,928.2226585812933,348.7665005735063,0.0,5331.804682731628
3463950,1095.4667421275064,427.2221900188223,0.0,5608.657270431519
3635600,1138.3410113942589,454.4694510145502,0.0,5874.214100599289
3801700,1138.3410113942589,498.6023999252774,0.0,6139.058773517609
3984450,1138.3410113942589,561.8380606256011,0.0,6407.33779668808
4163500,1216.1769769800198,484.29927497318806,0.0,6675.694722652435
4333300,1216.1769769800198,608.5379614464532,0.0,6950.983926057816
4516050,1322.1618082050568,607.3719762327604,0.0,7257.038999795914
4687700,1322.1618082050568,672.3359897556343,0.0,7530.052618265152
4851950,1322.1618082050568,575.0691537273008,0.0,7816.037543773651
5027300,1322.1618082050568,565.9413158169725,0.0,8084.803961515427
5206350,1322.1618082050568,673.2861831033896,0.0,8352.683633327484
5374300,1322.1618082050568,591.85009777113,0.0,8616.652292251587
5553350,1418.5082129307905,822.7887931128893,0.0,8889.714608192444
5717600,1418.5082129307905,655.8538332013023,0.0,9174.212721586227
5881850,1418.5082129307905,757.4523043842618,0.0,9435.581135034561
6053500,1718.7905908717887,766.4651857877507,0.0,9698.622639656067
6221450,1718.7905908717887,681.5278100764798,0.0,9964.46877002716
6404200,1718.7905908717887,891.5815614515096,0.0,10236.775696754456
6594350,1718.7905908717887,969.3567065789614,0.0,10515.02604174614
6778950,1737.1898514674717,811.8980003138652,0.0,10793.449548959732
6959850,1737.1898514674717,674.317386819818,0.0,11060.15276145935
7142600,1737.1898514674717,953.5177599219746,0.0,11333.926234722137
