timestep,best_fitness,avg_fitness,best_task_food,time
199300,226.99265132514927,47.18127765393603,0.0,253.4513282775879
376500,250.93255331884563,87.05550526168216,0.0,480.19613313674927
551850,284.33086191427867,148.78676429661064,0.0,756.6128387451172
723500,414.2905670135659,158.03718612490977,0.0,1001.774576663971
897000,499.3791708732563,189.84627943428782,0.0,1279.7891011238098
1057550,499.3791708732563,177.2534770219988,0.0,1550.8472576141357
1236600,499.3791708732563,252.86774565706617,0.0,1789.9237213134766
1413800,514.914361167949,217.8700607566547,0.0,2064.7259154319763
1583600,514.914361167949,222.41402196799163,0.0,2340.883091688156
1771900,822.2512347208211,243.57243864371858,0.0,2617.966689348221
1932450,894.5033141264535,240.627214575126,0.0,2893.969500541687
2096700,1049.435342868246,265.7214248615121,0.0,3122.4954454898834
2285000,1049.435342868246,315.45328940375003,0.0,3397.141274213791
2467750,1049.435342868246,370.18608637872705,0.0,3630.722180366516
2650500,1061.8005295953606,431.3426459523869,0.0,3880.6986961364746
2818450,1126.8602005838768,511.9304550301701,0.0,4108.5511310100555
3003050,1126.8602005838768,536.3980232497202,0.0,4382.173649549484
3187650,1214.9808666391027,625.7004786118468,0.0,4611.937710046768
3363000,1318.0693601911507,503.3247652932839,0.0,4887.479254484177
3555000,1318.0693601911507,571.2665438138431,0.0,5116.236150741577
3739600,1318.0693601911507,621.9561694787787,0.0,5393.095250844955
3924200,1790.249872796335,781.4657176537331,0.0,5668.142580986023
4099550,1898.7783841659189,743.5230779446972,0.0,5896.883025407791
4243450,1898.7783841659189,655.2840940538255,0.0,6129.188079595566
4411400,1898.7783841659189,777.3218970615088,0.0,6403.813965797424
4586750,1898.7783841659189,888.4085002286097,0.0,6680.731832027435
4738050,1898.7783841659189,672.9895858300123,0.0,6952.362365961075
4913400,1708.08758024712,818.9263716907539,0.0,7228.066681861877
5068400,1796.474575569854,829.8032457173252,0.0,7497.356428384781
5199350,1954.2138040204657,650.8552905948387,0.0,7735.257776737213
5330300,1954.2138040204657,624.3654097242687,0.0,8000.377355098724
5492700,1954.2138040204657,606.9615182293749,0.0,8224.503611803055
5656950,1954.2138040204657,679.6420147783077,0.0,8497.978399515152
5817500,1876.897660832842,780.144954455303,0.0,8748.256769418716
5966950,1876.897660832842,786.5100295961498,0.0,8971.991651296616
6116400,2048.7948580796174,804.0668660434279,0.0,9197.104557275772
6264000,2048.7948580796174,729.1142657945671,0.0,9467.727808475494
6430100,2048.7948580796174,779.107332253587,0.0,9736.672067403793
6579550,2048.7948580796174,856.8794360671802,0.0,9961.807616472244
6701250,2048.7948580796174,561.9096574051514,0.0,10227.291025161743
6845150,2048.7948580796174,832.2673717634747,0.0,10450.824918031693
6977950,2048.7948580796174,636.7081070944765,0.0,10700.922862052917
7094100,2048.7948580796174,656.3283257394243,0.0,10946.484768390656
7215800,2048.7948580796174,634.5759055337398,0.0,11162.090059757233
7343050,2048.7948580796174,837.138835061445,0.0,11423.915973186493
7505450,2048.7948580796174,831.8328556985272,0.0,11651.16795015335
7660450,1959.3768987751187,914.1594328220685,0.0,11888.904725074768
7804350,1959.3768987751187,608.3802906206432,0.0,12110.99869608879
7979700,1959.3768987751187,784.9713593156746,0.0,12371.286016225815
8129150,1959.3768987751187,693.378228625584,0.0,12594.3408370018
8274900,1959.3768987751187,621.5843483293271,0.0,12818.620039224625
8433600,1959.3768987751187,840.1381161419116,0.0,13087.927209377289
8597850,1959.3768987751187,953.3654703256522,0.0,13323.40351676941
8760250,1959.3768987751187,862.774570617689,0.0,13597.799376487732
8904150,1959.3768987751187,888.2366002348313,0.0,13821.43126130104
9031400,1994.1830559527975,867.6781500971308,0.0,14042.76105761528
9180850,2108.580949674785,892.8335397068217,0.0,14266.764446258545
9346950,2108.580949674785,878.2873530432134,0.0,14545.050926685333
9509350,2129.8017299837193,1012.2205092100019,0.0,14781.284654855728
9673600,2129.8017299837193,859.9247864679761,0.0,15009.093588352203
9824900,2129.8017299837193,711.0228848943237,0.0,15234.968207359314
9989150,1933.6803258928337,791.3553468097206,0.0,15474.483729362488
10157100,2075.082074615402,749.3743824804769,0.0,15746.86807847023
10326900,2075.082074615402,706.1853168906059,0.0,16003.228147029877
10500400,2075.082074615402,718.1879581281944,0.0,16231.44223022461
10677600,2075.082074615402,593.3646645098887,0.0,16508.761753320694
10854800,2075.082074615402,962.1682831353539,0.0,16786.21244072914
11033850,2075.082074615402,880.7073162424567,0.0,17054.99327135086
11214750,2075.082074615402,821.1721553223974,0.0,17331.318553447723
11382700,2075.082074615402,873.8297526179521,0.0,17610.094639778137
11556200,2075.082074615402,720.088744954707,0.0,17887.86939382553
11716750,2075.082074615402,820.725699999906,0.0,18162.66823911667
