timestep,best_fitness,avg_fitness,best_task_food,time
214100,160.2197952763055,38.30038279700604,0.0,246.2369372844696
398700,210.6994341641261,94.08146416595879,0.0,481.86100697517395
587000,298.00105477722076,111.57893202370069,0.0,755.8357150554657
760500,359.5231074717875,121.70924687467604,0.0,1029.7128942012787
948800,359.5231074717875,218.20152727603045,0.0,1303.221840620041
1133400,392.86824121601535,223.7480823809654,0.0,1556.8644251823425
1312450,1018.2470660454474,211.74115250166417,0.0,1831.713448047638
1447100,1087.073072013219,278.83185734764805,0.0,2050.905804157257
1583600,1087.073072013219,242.37010642711996,0.0,2317.965817451477
1725650,1087.073072013219,266.16662497691624,0.0,2540.3594868183136
1893600,1087.073072013219,305.66051884226766,0.0,2810.24734210968
2054150,1087.073072013219,284.23618662938804,0.0,3037.6825346946716
2201750,1160.970699134055,333.8046333392048,0.0,3292.494704723358
2340100,1230.474355141114,354.39173962866585,0.0,3522.3215017318726
2485850,1359.8809307664642,479.6876727280971,0.0,3772.6464030742645
2609400,1496.6610470061826,648.9495114633606,0.0,3990.2209939956665
2744050,2017.0833580723752,623.7397613321892,0.0,4255.953483104706
2878700,2017.0833580723752,656.5260495849683,0.0,4477.188394069672
3018900,2017.0833580723752,623.1557883312583,0.0,4736.756660699844
3153550,2017.0833580723752,580.2072558706742,0.0,4957.51343870163
3303000,2017.0833580723752,603.6838142599141,0.0,5204.975764036179
3456150,2017.0833580723752,646.9307324098869,0.0,5450.853840351105
3588950,2017.0833580723752,671.87074570924,0.0,5671.630481958389
3734700,2017.0833580723752,574.5981070599322,0.0,5939.243098735809
3906350,2017.0833580723752,768.401094110632,0.0,6213.115489959717
4028050,2017.0833580723752,502.3815049495101,0.0,6431.936030387878
4168250,1878.5232340294951,689.5104977227915,0.0,6662.89649772644
4336200,1878.5232340294951,685.8450865606321,0.0,6891.056935071945
4513400,1978.6471855241894,736.9783172348161,0.0,7166.8928854465485
4696150,1978.6471855241894,1081.4321323617105,0.0,7442.387007951736
4867800,1978.6471855241894,768.2137889172201,0.0,7715.885091543198
5033900,2008.865139218208,820.0502046226054,0.0,7990.61568903923
5192600,2008.865139218208,824.3793531991968,0.0,8265.076416492462
5364250,2008.865139218208,771.4910102143876,0.0,8525.933863401413
5541450,1978.6471855241894,935.4281613824031,0.0,8800.911991596222
5724200,1978.6471855241894,919.0926763729393,0.0,9076.481425523758
5912500,1950.0936249408685,1215.2958169466365,0.0,9353.218176603317
6089700,2000.237526432239,1056.8359622690039,0.0,9629.223187923431
6274300,1966.9224731142938,1222.6371005055505,0.0,9903.849218845367
6434850,2094.7223433355457,859.8216732457245,0.0,10160.17527103424
6600950,2094.7223433355457,1130.286778386256,0.0,10435.406995773315
6787400,2094.7223433355457,1175.9430527129102,0.0,10696.61386013031
6960900,2094.7223433355457,1231.8737485795043,0.0,10970.977937698364
7145500,2094.7223433355457,1214.2699872149942,0.0,11246.167587518692
7302350,1968.8496965309887,861.3920004418525,0.0,11490.549082279205
7472150,2020.360974956278,1197.892279712765,0.0,11716.40612578392
7640100,1968.8496965309887,1064.9112138672087,0.0,11973.142888784409
7822850,1968.8496965309887,1119.8659000918058,0.0,12247.993807554245
8000050,1960.212009269051,1384.9666295937977,0.0,12476.096388816833
8182800,2434.388771014914,1162.0364072574273,0.0,12732.82668709755
8365550,2434.388771014914,1040.4567099503547,0.0,12964.811068296432
8555700,2434.388771014914,1199.4748920647323,0.0,13204.865369558334
8745850,1981.7307350074932,1162.9888541569405,0.0,13446.115178585052
8921200,2140.4982974665977,1216.733332320615,0.0,13719.58901309967
9092850,2140.4982974665977,1119.6215470125037,0.0,13948.045631170273
9270050,1982.4637723483352,1119.6954483565357,0.0,14221.39931344986
9450950,2040.7499796239845,1071.5275430038735,0.0,14453.206111192703
9626300,1955.151613921078,1041.6497879368478,0.0,14727.765266656876
9814600,1973.8908694309775,1112.0090212375842,0.0,14964.505486011505
10006600,1941.0551524400391,1150.6822469702902,0.0,15239.65568780899
10198600,2072.1136453233107,1239.5766260824355,0.0,15477.095398902893
10383200,2072.1136453233107,1076.3876788676496,0.0,15751.667039632797
10569650,2072.1136453233107,1166.0808668057948,0.0,15991.901322603226
10743150,1941.0551524400391,1146.9698692446805,0.0,16229.899646520615
10920350,1990.899263110636,1135.0405691784354,0.0,16457.589490413666
11093850,1990.899263110636,1016.3549874622768,0.0,16685.41802597046
11256250,1872.4701705475543,930.3090240628804,0.0,16916.487122535706
11433450,1872.4701705475543,936.9992437476104,0.0,17143.361055612564
11614350,1951.1235892424766,1026.6247081225267,0.0,17417.274978876114
11786000,1975.8044710812387,1063.7330888650165,0.0,17692.76493692398
11972450,2011.5418761057952,1117.0989352933307,0.0,17968.193517446518
12123750,2011.5418761057952,928.3505730719959,0.0,18239.814096927643
12306500,2146.665862089439,1133.1300001244672,0.0,18472.097917318344
12491100,2347.64322841115,1181.6505483580127,0.0,18747.217216968536
12675700,2203.8161662611315,1217.1782975994781,0.0,19021.83918952942
12856600,2011.5418761057952,1072.9050567759975,0.0,19296.305426359177
13048600,2011.5418761057952,1148.3645536066745,0.0,19569.823366642
13225800,2126.608807016703,1029.206564780928,0.0,19840.983013868332
13410400,2138.3908541824753,911.64350997798,0.0,20114.622838258743
13585750,2138.3908541824753,1070.9775760582902,0.0,20373.998920440674
13759250,2138.3908541824753,993.887473722479,0.0,20649.06469154358
13932750,2138.3908541824753,1024.677383131583,0.0,20877.962810993195
14115500,2337.4470693445705,1346.9508814626126,0.0,21147.826620578766
14294550,2628.501753539401,1262.0839677467245,0.0,21396.727711439133
14466200,2681.86904594813,1152.6807138235795,0.0,21626.37110185623
14654500,2138.3908541824753,1018.6490395063969,0.0,21887.329065084457
14840950,2367.750614160995,1218.221097734366,0.0,22127.610310792923
15025550,2125.705469493172,1014.6821259314627,0.0,22402.9362180233
15195350,2042.2810362448042,976.576530739138,0.0,22632.19061779976
15381800,2042.2810362448042,1155.5312359698842,0.0,22907.276626348495
