timestep,best_fitness,avg_fitness,best_task_food,time
182650,220.43342802898317,46.08342630856766,0.0,239.92842388153076
359850,254.68624640954357,99.8757770562143,0.0,511.77033400535583
537050,254.88215517054934,122.40986300531986,0.0,783.508759021759
699450,289.3635224298561,121.49710747909037,0.0,1011.4161071777344
834100,346.90006075855166,129.013727789038,0.0,1249.3196609020233
959500,346.90006075855166,114.90878959388402,0.0,1506.2346892356873
1073800,346.90006075855166,98.59424215584605,0.0,1726.6331782341003
1204750,346.90006075855166,129.33845362956072,0.0,1963.8380990028381
1356050,346.90006075855166,157.10191204451957,0.0,2189.5385081768036
1470350,411.83093037250234,94.64118005469378,0.0,2447.209904909134
1617950,411.83093037250234,115.48157962354558,0.0,2669.560333251953
1774800,411.83093037250234,121.70646951895472,0.0,2938.9632391929626
1926100,411.83093037250234,145.26490614594894,0.0,3178.645571947098
2053350,411.83093037250234,102.29915706284864,0.0,3395.5448529720306
2162100,411.83093037250234,119.5435610097171,0.0,3607.6963818073273
2267150,411.83093037250234,81.32519051377686,0.0,3820.725609064102
2414750,434.2410344403593,137.46993800851882,0.0,4049.232449054718
2529050,434.2410344403593,95.0748704865441,0.0,4264.6894381046295
2669250,434.2410344403593,81.06756851107824,0.0,4532.729045152664
2807600,434.2410344403593,114.11032103485981,0.0,4759.397927045822
2964450,434.2410344403593,125.5805089600845,0.0,5022.028371334076
3078750,434.2410344403593,138.55741306012263,0.0,5236.826365470886
3230050,523.2663591826304,148.80926928935716,0.0,5501.444844484329
3370250,523.2663591826304,121.30793494674904,0.0,5769.425806522369
3493800,523.2663591826304,119.77004064293715,0.0,5986.111634731293
3635850,523.2663591826304,112.03000916657808,0.0,6209.107244491577
3770500,523.2663591826304,134.20791451892953,0.0,6471.595433473587
3903300,523.2663591826304,170.25753024884904,0.0,6737.082350254059
4045350,523.2663591826304,143.21680983934803,0.0,6968.055146932602
4180000,523.2663591826304,147.1155819351591,0.0,7190.313408613205
4329450,523.2663591826304,153.6394350194644,0.0,7413.374445676804
4460400,523.2663591826304,155.4818972659902,0.0,7631.745022058487
4598750,523.2663591826304,139.88877156491853,0.0,7894.8424389362335
4761150,523.2663591826304,160.91690167045866,0.0,8166.811504125595
4886550,523.2663591826304,131.4450712969145,0.0,8378.995104789734
5036000,523.2663591826304,185.23485155941137,0.0,8643.707659721375
5178050,523.2663591826304,153.53551603786258,0.0,8866.638131141663
5299750,523.2663591826304,138.24855610561798,0.0,9085.380451202393
5462150,523.2663591826304,176.29050194054153,0.0,9312.304858207703
5596800,523.2663591826304,137.96606948565017,0.0,9576.322510004044
5731450,523.2663591826304,165.52712725464966,0.0,9798.158685684204
5858700,523.2663591826304,174.2209605469913,0.0,10058.440025806427
6008150,523.2663591826304,155.4352434354146,0.0,10328.61306142807
6148350,523.2663591826304,155.90095802560856,0.0,10555.968676567078
6279300,523.2663591826304,178.08545088075437,0.0,10817.249019622803
6426900,523.2663591826304,185.98568855856144,0.0,11084.936439275742
6561550,523.2663591826304,166.6752485188779,0.0,11308.211997270584
6696200,523.2663591826304,168.6299587310626,0.0,11566.401701688766
6840100,523.2663591826304,192.25128181084557,0.0,11827.465392827988
6980300,523.2663591826304,157.5073604753969,0.0,12050.274818181992
7109400,547.7550401539328,198.200813516766,0.0,12306.90494632721
7245900,592.1357275365115,188.5075557384853,0.0,12528.526255846024
7380550,592.1357275365115,154.72877993560118,0.0,12748.897572040558
7544800,592.1357275365115,176.67905855025987,0.0,12983.251499652863
7701650,592.1357275365115,209.88223104507912,0.0,13210.01257109642
7838150,592.1357275365115,185.61327454361125,0.0,13474.149674654007
7976500,592.1357275365115,191.6936507687943,0.0,13739.796636343002
8142600,592.1357275365115,176.13151953731528,0.0,14011.543009757996
8299450,592.1357275365115,217.3400859555276,0.0,14237.665356636047
8445200,592.1357275365115,188.40710649461775,0.0,14468.260560035706
8585400,592.1357275365115,177.47533790296944,0.0,14713.556423664093
8747800,592.1357275365115,197.78461008318658,0.0,14985.767268180847
8921300,592.1357275365115,134.3896820694589,0.0,15257.534001350403
9065200,592.1357275365115,126.26229295031045,0.0,15477.132184505463
9233150,592.1357275365115,172.29658851735428,0.0,15745.763266563416
9369650,592.1357275365115,121.19787901165147,0.0,16009.714457273483
9532050,592.1357275365115,150.80060087175332,0.0,16265.050068616867
9666700,592.1357275365115,103.80418686045428,0.0,16522.666056394577
9806900,592.1357275365115,145.02504713577588,0.0,16744.663397312164
9965600,592.1357275365115,123.90961608043753,0.0,17016.967888593674
10131700,592.1357275365115,131.5670936672344,0.0,17252.86260652542
10294100,592.1357275365115,140.90294415112675,0.0,17504.170030355453
10441700,592.1357275365115,110.66615071837376,0.0,17767.494981765747
10594850,592.1357275365115,145.6222582936247,0.0,17994.304049491882
10723950,592.1357275365115,139.4656109437563,0.0,18255.38885474205
10875250,735.7071169382914,243.6163619710834,0.0,18524.706711530685
11037650,981.5693827221214,277.4691981742863,0.0,18769.965651988983
11222250,981.5693827221214,351.192856973151,0.0,19008.377955436707
11412400,1016.2545386282576,405.2772762705864,0.0,19282.580601215363
11597000,1188.5080965391078,504.303868228442,0.0,19556.781785726547
11781600,1191.2823718518491,707.9131533461928,0.0,19830.275160074234
11960650,1191.2823718518491,623.111871889693,0.0,20103.85044002533
12137850,1361.1967229635648,677.210397954385,0.0,20340.923548460007
12315050,1704.8449780228364,745.7170179007956,0.0,20610.64358973503
12471900,1704.8449780228364,751.5535417042049,0.0,20878.80248260498
12643550,1704.8449780228364,924.9955754670908,0.0,21106.638115167618
12807800,1704.8449780228364,932.8768672674177,0.0,21379.64742040634
12966500,1822.6418083942704,838.2527405278337,0.0,21638.10006260872
13143700,1822.6418083942704,1044.7232139625905,0.0,21911.81561923027
13315350,1822.6418083942704,851.157254835921,0.0,22148.20673418045
13496250,1822.6418083942704,867.5951676888968,0.0,22385.427109003067
13682700,1844.769342427585,803.0543200194969,0.0,22658.486389398575
13845100,1844.769342427585,768.0488809520866,0.0,22905.577777147293
14014900,1844.769342427585,818.0830334491591,0.0,23178.732631206512
14166200,1844.769342427585,581.4318575036774,0.0,23445.495208501816
14306400,1844.769342427585,811.438757590361,0.0,23682.364555120468
14487300,1844.769342427585,919.4185478743185,0.0,23911.112514972687
14664500,1893.7723055050599,1008.5398139685035,0.0,24184.974397420883
14843550,1897.467778171325,806.1345185601857,0.0,24415.45198392868
15033700,1967.5169028321868,942.1830201155022,0.0,24689.546108722687
15209050,1967.5169028321868,1157.7720528099194,0.0,24965.343278169632
15384400,1967.5169028321868,1033.0392116781074,0.0,25238.71118736267
15541250,1967.5169028321868,923.7032043482533,0.0,25466.520881414413
15720300,2043.7719290916068,1038.4173197882044,0.0,25740.731256484985
15904900,2043.7719290916068,1035.3907621768371,0.0,26000.755048513412
16085800,2043.7719290916068,1027.3287218973271,0.0,26276.905434131622
16246350,2043.7719290916068,919.8352243970829,0.0,26548.0591070652
16408750,2043.7719290916068,964.8591837220539,0.0,26776.62850689888
16593350,2043.7719290916068,1050.2104613887634,0.0,27053.902550458908
16776100,2046.058032218056,1047.6297856750618,0.0,27284.220875263214
16964400,2046.058032218056,1086.7807349720574,0.0,27559.127542972565
17145300,2159.809028216833,1119.0702180118494,0.0,27791.089321136475
17300300,2159.809028216833,1006.0764375969926,0.0,28017.350906848907
17453450,2159.809028216833,1068.543504972446,0.0,28244.403582572937
17593650,2145.3944432819003,1024.186532986509,0.0,28468.01385164261
17776400,2258.803667494084,1244.8043069482167,0.0,28742.925860643387
17938800,2209.5768241363858,903.9322782601832,0.0,28973.782554149628
18106750,2209.5768241363858,1050.072995480205,0.0,29248.223108053207
18267300,2209.5768241363858,883.0990614197145,0.0,29519.080570459366
18414900,2430.6444533032654,1128.4224917720207,0.0,29746.011331796646
18584700,2666.787774004732,1286.6116012634773,0.0,29974.85748243332
18748950,2767.5593364620786,1173.9934454141155,0.0,30212.273253679276
18922450,2767.5593364620786,1499.2173431266356,0.0,30487.983289718628
19088550,2430.6444533032654,1285.5964787907094,0.0,30762.847729682922
19254650,2430.6444533032654,1094.4874945274428,0.0,30991.96241211891
19426300,2430.6444533032654,1490.1072896270548,0.0,31250.228491783142
19581300,2512.0140184589927,1253.8189155660298,0.0,31474.941804409027
19752950,2512.0140184589927,1568.2273796446639,0.0,31748.893666028976
19930150,2524.6376034208424,1491.1105926851828,0.0,31979.69663310051
20098100,2430.6444533032654,1234.4264211389957,0.0,32255.573787927628
20266050,2677.3405305356173,1387.5037001113933,0.0,32481.243439912796
20424750,2413.276645506156,1520.0677012606088,0.0,32734.44840335846
20587150,2578.7937395768145,1417.56132211356,0.0,33007.40277695656
20745850,2413.276645506156,1320.5298039481936,0.0,33235.77976703644
20884200,2413.276645506156,1164.1526700588497,0.0,33478.25776386261
21054000,2682.8488712425624,1429.0266753526107,0.0,33752.99719262123
21221950,2682.8488712425624,1291.8836793916303,0.0,33988.90342736244
21352900,2788.0923716049056,1131.747184833617,0.0,34236.34894990921
21483850,2908.3796143197283,1235.4965190323296,0.0,34455.85528087616
21637000,2936.269377535199,1472.5521672078685,0.0,34726.159136772156
21790150,2936.269377535199,1470.2845783416362,0.0,34951.17578482628
21939600,2879.5251836946327,1484.1528982993934,0.0,35178.79596352577
22076100,2879.5251836946327,1158.9502161936864,0.0,35427.85701203346
22244050,2879.5251836946327,1566.274002345983,0.0,35666.9252204895
22421250,3836.8333923985188,1748.2043061035083,0.0,35903.34885811806
22542950,3836.8333923985188,1432.5145737927446,0.0,36152.10790300369
22670200,3836.8333923985188,1265.0581982708304,0.0,36373.53601813316
22815950,3836.8333923985188,1526.6643021266934,0.0,36641.0947599411
22954300,3836.8333923985188,1514.9131556416382,0.0,36867.97181415558
23098200,3836.8333923985188,1360.5665413077375,0.0,37090.847913742065
23256900,3836.8333923985188,1481.5678439260776,0.0,37321.64546203613
23406350,3836.8333923985188,1517.2086833427477,0.0,37551.337871313095
23557650,3836.8333923985188,1312.3643496628304,0.0,37822.47407746315
23703400,3836.8333923985188,1498.791090777181,0.0,38048.87331390381
23849150,3836.8333923985188,1817.8519543824978,0.0,38302.37251663208
23976400,3836.8333923985188,1921.1296266010881,0.0,38565.345506191254
24129550,3836.8333923985188,1630.8569558338502,0.0,38789.50241160393
24290100,3556.7455137567395,1785.6803262762419,0.0,39021.49602293968
24430300,4008.276365020539,1456.3918499860629,0.0,39287.55398440361
24574200,4008.276365020539,1784.2484092260713,0.0,39531.729197740555
24701450,4008.276365020539,1592.348879751778,0.0,39793.65478229523
24832400,4008.276365020539,1698.0488545083758,0.0,40014.45252037048
24948550,4008.276365020539,1614.5835008757142,0.0,40231.33444786072
25090600,4008.276365020539,1680.8123354818729,0.0,40494.5249004364
25180850,4008.276365020539,1333.3043140259958,0.0,40707.593492269516
25328450,4008.276365020539,1654.83429919323,0.0,40932.65038275719
25453850,4008.276365020539,1709.758018809697,0.0,41174.522319078445
25577400,4008.276365020539,1690.3849788891227,0.0,41395.3786315918
25715750,4008.276365020539,1524.460396923309,0.0,41638.66924953461
25868900,4012.059246434977,2260.3362243447423,0.0,41866.25952267647
26007250,4012.059246434977,1953.27948818382,0.0,42091.54124379158
26121550,4012.059246434977,1640.9947979841797,0.0,42352.84830355644
26241400,4012.059246434977,1619.1444854730257,0.0,42599.44425702095
26387150,4144.26686487439,1875.2903705550887,0.0,42833.49927520752
26514400,4144.26686487439,1847.6238032553201,0.0,43054.88067698479
26632400,4144.26686487439,1826.5657503072582,0.0,43270.6925637722
26778150,4144.26686487439,1774.2000700817541,0.0,43507.08911728859
26888750,4144.26686487439,1479.132707408757,0.0,43734.0539996624
27023400,4314.330185295533,1669.1010080045146,0.0,43975.45605015755
27178400,4382.736598314657,1892.5995719456905,0.0,44243.70635986328
27296400,4382.736598314657,1755.825013293374,0.0,44506.02268695831
27434750,4382.736598314657,1921.6996395583976,0.0,44770.05768632889
27541650,4597.563459242116,1752.7376403229896,0.0,45031.04877734184
27672600,4605.831622319386,2122.7859116659383,0.0,45293.731842279434
27768400,4605.831622319386,2105.586379381281,0.0,45515.14782524109
27919700,4605.831622319386,2187.4015087574894,0.0,45740.753116846085
28052500,4605.831622319386,1695.9412494769547,0.0,46007.56470155716
28179750,4605.831622319386,1967.412613033447,0.0,46226.79981184006
28340300,4605.831622319386,1842.486870729887,0.0,46498.31110906601
28469400,4605.831622319386,1972.460066485232,0.0,46717.069249391556
28613300,4605.831622319386,1594.645439942331,0.0,46985.99476122856
