timestep,best_fitness,avg_fitness,best_task_food,time
206700,146.2075252259174,29.423065813634107,0.0,279.6439206600189
380200,246.54929702493195,66.25103300955745,0.0,553.9317376613617
544450,246.54929702493195,81.51591525271887,0.0,827.5194103717804
699450,246.54929702493195,84.93464924003646,0.0,1100.3126652240753
871100,246.54929702493195,99.8456935575976,0.0,1374.0003497600555
1020550,224.87223288426975,87.84033971237257,0.0,1640.771183013916
1179250,299.27271602655793,84.56827892031197,0.0,1913.687126159668
1317600,332.1873807063574,116.14307241287445,0.0,2133.847028493881
1459650,332.1873807063574,77.75655058573076,0.0,2401.641985654831
1627600,332.1873807063574,126.42939697448024,0.0,2674.2750568389893
1784450,374.21799368162993,95.91593619902899,0.0,2944.4280138015747
1939450,374.21799368162993,155.184012611167,0.0,3168.21311712265
2111100,374.21799368162993,134.1668318186568,0.0,3396.787462234497
2262400,374.21799368162993,122.47571275276287,0.0,3620.5303370952606
2428500,456.0552461155294,144.4999083480756,0.0,3847.2144293785095
2579800,456.0552461155294,116.4853942600583,0.0,4116.6898374557495
2703350,456.0552461155294,109.73132258360326,0.0,4362.932800292969
2823200,650.5197513152004,163.73600420117947,0.0,4577.499609708786
2963400,650.5197513152004,125.9126899015388,0.0,4829.855665683746
3099900,650.5197513152004,99.05530014501231,0.0,5063.400974750519
3221600,650.5197513152004,92.20959313696555,0.0,5325.831793308258
3354400,650.5197513152004,111.12542232669198,0.0,5544.586279630661
3503850,650.5197513152004,132.0524454581437,0.0,5770.475607395172
3638500,650.5197513152004,141.46791956625532,0.0,5992.040568828583
3773150,650.5197513152004,125.06439548965763,0.0,6242.255827188492
3909650,650.5197513152004,133.91371517992437,0.0,6461.177862882614
4066500,650.5197513152004,169.08411075687908,0.0,6734.295387506485
4210400,650.5197513152004,136.15686982549244,0.0,6959.513390541077
4337650,661.6725515040695,230.21136409616003,0.0,7218.451651334763
4507450,661.6725515040695,285.0795152621602,0.0,7471.976761817932
4677250,815.024551839359,291.2370250842968,0.0,7745.895375967026
4860000,815.4368098179249,428.8950086219708,0.0,7993.881751298904
5039050,815.4368098179249,454.9855285656777,0.0,8242.140671014786
5201450,1092.8749950053975,466.5380302751099,0.0,8483.60287809372
5374950,1095.228297721858,502.2384411327995,0.0,8722.003294229507
5552150,1333.9685251340968,540.778894877528,0.0,8956.905621051788
5733050,1333.9685251340968,555.1235777585221,0.0,9231.445477485657
5923200,1333.9685251340968,574.423019101983,0.0,9461.977451324463
6105950,1333.9685251340968,730.087879789326,0.0,9737.625061035156
6296100,1333.9685251340968,759.2828147459735,0.0,10011.484819173813
6488100,1378.6299366549092,803.4914032359867,0.0,10287.36550951004
6676400,1378.6299366549092,715.5824296933616,0.0,10550.480187177658
6862850,1500.9403219662408,659.3529813566405,0.0,10826.699269294739
7041900,1500.9403219662408,690.4789133604095,0.0,11100.956330299377
7228350,1766.8994046519545,716.2022309285404,0.0,11378.39818239212
7403700,1813.2307172361964,670.2540003978337,0.0,11613.322574853897
7580900,1813.2307172361964,846.4138775276439,0.0,11889.031849861145
7750700,2031.4168520536496,845.5290205308177,0.0,12139.0324883461
7924200,2031.4168520536496,835.5144369914117,0.0,12414.835850954056
8090300,2034.2806935636136,770.9452073418328,0.0,12690.096681118011
8258250,2034.2806935636136,853.260300431695,0.0,12916.354529380798
8429900,2034.2806935636136,913.7805210920856,0.0,13162.610222816467
8614500,2034.2806935636136,1068.9292853395991,0.0,13439.606386423111
8797250,2034.2806935636136,946.1971559468797,0.0,13675.283702135086
8978150,2034.2806935636136,813.0828050629657,0.0,13951.777889966965
9147950,2034.2806935636136,1034.259451891055,0.0,14191.699588060379
9328850,2059.9930453239017,1176.202472130108,0.0,14421.45910358429
9493100,1751.53714736278,844.2980786133829,0.0,14656.720901489258
9651800,1847.782653099109,941.7282560660308,0.0,14904.818881750107
9817900,1847.782653099109,991.0019381631774,0.0,15148.885462760925
9985850,1912.1234392259696,856.6027020720509,0.0,15408.5395424366
10148250,1751.53714736278,821.3901031932385,0.0,15643.506598949432
10308800,1793.7099315638027,806.7042280228893,0.0,15896.929221630096
10480450,1793.7099315638027,892.2812099146335,0.0,16173.891382932663
10628050,1793.7099315638027,848.6437076696949,0.0,16440.39898967743
10805250,2006.2570291468262,915.3106080556848,0.0,16694.587878465652
10960250,2046.0775591192773,961.5488890704107,0.0,16965.888681411743
11115250,2046.0775591192773,1021.7128821515452,0.0,17189.37265563011
11290600,2046.0775591192773,1025.9796654281595,0.0,17464.541607618332
11453000,2046.0775591192773,894.266002396461,0.0,17695.818252801895
11619100,2046.0775591192773,910.2047029536506,0.0,17967.168830633163
11777800,2046.0775591192773,832.0476805126283,0.0,18191.949916124344
11958700,2046.0775591192773,983.8464131182753,0.0,18467.16974759102
12115550,1772.0136045634272,980.2572909268351,0.0,18739.303116559982
12272400,1549.9074345818797,774.023562149361,0.0,18964.635066986084
12442200,1549.9074345818797,879.8579540054399,0.0,19235.42733836174
12630500,1787.4944379783321,908.2488142689548,0.0,19476.165671110153
12815100,1791.9913280765593,929.7680545678362,0.0,19752.119726657867
12994150,1939.3370440623473,1010.292678588549,0.0,20027.625411748886
13163950,1846.747240704586,896.2145334394228,0.0,20255.52207493782
13326350,1825.9048251580748,910.0379469756541,0.0,20484.563199281693
13499850,1946.7437298782959,1205.2292183302166,0.0,20731.688754558563
13651150,1815.425452186654,864.0346528873328,0.0,20970.527973651886
13830200,1994.5114784140155,1055.9995429820808,0.0,21245.952629327774
13988900,1917.1416573815739,836.9881581673595,0.0,21476.390617847443
14177200,2137.7296162845046,1069.2456930006983,0.0,21753.69307565689
14354400,2137.7296162845046,987.061404830816,0.0,21982.494435310364
14539000,2032.21833500088,1112.4653771238923,0.0,22259.344087600708
14725450,2077.2047769891205,1079.5002004817084,0.0,22537.28969359398
14915600,2206.002694745846,983.300097913249,0.0,22812.94869494438
15103900,2206.002694745846,1019.9830505603238,0.0,23090.439205884933
15288500,2004.6248129249877,959.2911961781448,0.0,23365.57294154167
15476800,2072.3287048428247,1051.916277400799,0.0,23641.27219080925
15642900,2201.3624420837486,1078.591315968775,0.0,23912.91238117218
15827500,2201.3624420837486,1070.74620481122,0.0,24187.88544154167
16008400,2201.3624420837486,936.490441896804,0.0,24431.966019392014
16194850,2201.3624420837486,1102.4828248283427,0.0,24659.94702219963
16386850,2201.3624420837486,1092.9932111066953,0.0,24935.960576295853
16571450,2201.3624420837486,1023.4200952128925,0.0,25170.205977916718
16746800,2263.2116432952503,1133.7911271668054,0.0,25446.266691684723
16920300,2263.2116432952503,934.3114420944047,0.0,25722.608987808228
17110450,2263.2116432952503,1193.0622641812572,0.0,25998.546239614487
17300600,2151.1533165955525,1154.3642079960441,0.0,26274.625220775604
17487050,1961.5479537065528,1056.020944402727,0.0,26514.21324944496
17645750,2013.2026547337762,1028.7292954401953,0.0,26786.096240758896
17821100,2114.4828123495777,1121.8327694686884,0.0,27060.624228954315
17977950,2151.1446146720064,1137.217149093823,0.0,27295.067209005356
18142200,2061.998129454157,1072.454359758822,0.0,27527.452939748764
18310150,1942.1964735064894,853.623521894117,0.0,27800.44100832939
18483650,1974.5032648714298,1028.724680528465,0.0,28031.296305179596
18660850,1942.1964735064894,865.615316211584,0.0,28307.78005886078
18823250,1978.2609433962805,1064.3318245404644,0.0,28578.565271377563
19011550,2126.30079058607,1018.1100533007863,0.0,28856.73445916176
19179500,2287.5568502943725,1222.1942892228253,0.0,29121.995712518692
19351150,2287.5568502943725,896.299030147629,0.0,29385.471885442734
19533900,2328.7389959395323,1130.5553854057769,0.0,29661.951652526855
19677800,2287.5568502943725,832.9789289504565,0.0,29934.001724481583
19855000,2287.5568502943725,892.3979739204594,0.0,30210.69776058197
20017400,2287.5568502943725,913.1854000908445,0.0,30436.795055389404
20181650,1784.0451897831972,788.9189420423994,0.0,30709.981486320496
20342200,1784.0451897831972,796.5335965477,0.0,30945.665647506714
20510150,2082.044831552903,991.328610274813,0.0,31173.17726111412
20668850,2092.222011774931,1002.3770360915544,0.0,31401.609992980957
20831250,2415.548327437399,1044.9190486868504,0.0,31631.926764011383
21017700,2699.6314125563736,1052.3755917054677,0.0,31908.77232313156
21169000,2699.6314125563736,868.4089327661625,0.0,32180.19767642021
21325850,2699.6314125563736,920.4953629544417,0.0,32405.05941271782
21501200,2699.6314125563736,909.2053928118689,0.0,32679.029331207275
21678400,2699.6314125563736,873.0389488260141,0.0,32928.766097307205
21861150,2699.6314125563736,1032.5088927130687,0.0,33177.40405988693
22032800,2699.6314125563736,1039.105590624008,0.0,33451.59167051315
22193350,2699.6314125563736,1003.4600549888072,0.0,33727.33032774925
22365000,2699.6314125563736,1102.569480854156,0.0,34002.89958906174
22544050,2736.059876782877,1163.9022637565943,0.0,34279.00488591194
22695350,2736.059876782877,1231.2914856362881,0.0,34503.13362145424
22852200,2568.067607421012,967.7262063652898,0.0,34727.82030081749
22992400,2743.415333051096,1243.8091582837253,0.0,34983.69532084465
23140000,2743.415333051096,1309.2323313148802,0.0,35215.336061000824
23287600,2780.780134562368,1179.2548269997615,0.0,35468.993990421295
23457400,2780.780134562368,1495.2198884654063,0.0,35703.98131465912
23616100,2780.780134562368,1030.0017028981092,0.0,35975.785608291626
23763700,2780.780134562368,1237.7729131949563,0.0,36244.46119141579
23898350,2780.780134562368,1075.7086179746357,0.0,36468.221662044525
24044100,2780.780134562368,1060.8427665450417,0.0,36689.887165308
24189850,2869.1869957121235,1239.292091296532,0.0,36943.92535829544
24306000,2869.1869957121235,1199.411773303592,0.0,37176.26258587837
24449900,2869.1869957121235,1066.6798235795818,0.0,37444.4708468914
24575300,3097.662378383262,1116.1213376219591,0.0,37662.80593585968
24693300,3097.662378383262,1301.9457657063342,0.0,37881.77772784233
24844600,3097.662378383262,1149.5648470028623,0.0,38149.108486413956
25001450,3097.662378383262,1328.9236371229201,0.0,38384.73330497742
25145350,3097.662378383262,1458.9570125157209,0.0,38652.415858745575
25283700,3097.662378383262,1137.8007727859779,0.0,38876.51688528061
25435000,3097.662378383262,1373.5033082992218,0.0,39148.084620952606
25586300,3097.662378383262,1174.7719046753662,0.0,39381.69620633125
25715400,3097.662378383262,1113.150209029093,0.0,39602.090047836304
25857450,4339.701345228338,1187.106359948327,0.0,39825.122947216034
26018000,4339.701345228338,1344.235388113488,0.0,40097.19637751579
26189650,4339.701345228338,1464.7599266054237,0.0,40373.526401758194
26337250,4339.701345228338,1731.0522359607285,0.0,40641.45514559746
26484850,4339.701345228338,1359.5154432013835,0.0,40909.797965765
26647250,4339.701345228338,1348.7453035599315,0.0,41135.34881424904
26800400,4339.701345228338,1607.1799748120684,0.0,41392.77951979637
26972050,4339.701345228338,1497.7972545067144,0.0,41668.35473537445
27128900,4339.701345228338,1569.2253343143223,0.0,41902.71512436867
27293150,4271.731328015673,1903.1369622346026,0.0,42132.50198459625
27470350,4516.1857708854095,2134.8629850704365,0.0,42407.660543203354
27632750,4516.1857708854095,1517.0435527526856,0.0,42680.337210416794
27800700,4516.1857708854095,1880.229660097798,0.0,42919.08924102783
27944600,4516.1857708854095,1542.2768461471237,0.0,43191.13540816307
28101450,4516.1857708854095,1383.8252411016997,0.0,43416.64286160469
28258300,4516.1857708854095,1753.5211963597687,0.0,43647.20645928383
28405900,4516.1857708854095,1716.6585649512826,0.0,43918.75765705109
28568300,4516.1857708854095,1925.0579310334133,0.0,44190.19284105301
28741800,4282.556553651229,1744.9631369933572,0.0,44464.90427684784
28896800,4282.556553651229,1611.9617646695294,0.0,44689.503058195114
29024050,4282.556553651229,1699.7625352132977,0.0,44957.42880797386
29192000,4282.556553651229,1712.3058259211539,0.0,45186.10382962227
29339600,4282.556553651229,1536.4226470588449,0.0,45411.24775147438
29502000,4282.556553651229,1793.7620962560534,0.0,45641.72900938988
29666250,4282.556553651229,1720.0827143610113,0.0,45913.94331622124
29841600,4282.556553651229,1743.8689543056655,0.0,46190.72838783264
30011400,4282.556553651229,1748.5959395285934,0.0,46463.539994716644
30162700,4282.556553651229,1893.315803485276,0.0,46708.99019575119
30319550,4282.556553651229,1695.438808093984,0.0,46936.12525844574
