recolhas,zmax,fracao_no_teto,dentro,agentes_dentro,travessias,travessias_teto,agentes_atravessam,agentes_presos,campanha,algo,cenario,run,modelo,sha1,seed,erro
0,0.9,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,5.0,results/models/gnn_3d_best_u_wall_run5.pth,0235ca14a648,2026,
0,10.94,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,4.0,results/models/gnn_3d_best_u_wall_run4.pth,abebe41694a0,2024,
0,10.9,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,4.0,results/models/gnn_3d_best_u_wall_run4.pth,abebe41694a0,2025,
0,10.92,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,4.0,results/models/gnn_3d_best_u_wall_run4.pth,abebe41694a0,2026,
143,1.73,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,,results/models/gnn_3d_best_bottleneck.pth,263b6a99a7e2,2024,
140,1.53,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,,results/models/gnn_3d_best_bottleneck.pth,263b6a99a7e2,2025,
138,2.4,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,,results/models/gnn_3d_best_bottleneck.pth,263b6a99a7e2,2026,
133,1.17,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,1.0,results/models/gnn_3d_best_bottleneck_run1.pth,d6400d6fa83f,2024,
134,1.17,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,1.0,results/models/gnn_3d_best_bottleneck_run1.pth,d6400d6fa83f,2025,
132,1.36,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,1.0,results/models/gnn_3d_best_bottleneck_run1.pth,d6400d6fa83f,2026,
0,2.17,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,6.0,results/models/gnn_3d_best_u_wall_run6.pth,d407fdb15de9,2024,
0,1.52,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,6.0,results/models/gnn_3d_best_u_wall_run6.pth,d407fdb15de9,2025,
0,3.77,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,6.0,results/models/gnn_3d_best_u_wall_run6.pth,d407fdb15de9,2026,
44,2.09,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,7.0,results/models/gnn_3d_best_u_wall_run7.pth,800a4f29252f,2024,
44,2.65,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,7.0,results/models/gnn_3d_best_u_wall_run7.pth,800a4f29252f,2025,
42,3.39,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,7.0,results/models/gnn_3d_best_u_wall_run7.pth,800a4f29252f,2026,
135,0.61,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,2.0,results/models/gnn_3d_best_bottleneck_run2.pth,5aa2521d00a8,2024,
138,0.21,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,2.0,results/models/gnn_3d_best_bottleneck_run2.pth,5aa2521d00a8,2025,
132,0.8,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,2.0,results/models/gnn_3d_best_bottleneck_run2.pth,5aa2521d00a8,2026,
95,0.77,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,3.0,results/models/gnn_3d_best_bottleneck_run3.pth,66722ab716b0,2024,
92,0.87,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,3.0,results/models/gnn_3d_best_bottleneck_run3.pth,66722ab716b0,2025,
93,0.94,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,3.0,results/models/gnn_3d_best_bottleneck_run3.pth,66722ab716b0,2026,
94,1.05,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,4.0,results/models/gnn_3d_best_bottleneck_run4.pth,ed2c98e609c5,2024,
98,1.08,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,4.0,results/models/gnn_3d_best_bottleneck_run4.pth,ed2c98e609c5,2025,
93,0.9,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,4.0,results/models/gnn_3d_best_bottleneck_run4.pth,ed2c98e609c5,2026,
133,0.95,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,5.0,results/models/gnn_3d_best_bottleneck_run5.pth,de1d90faa6c7,2024,
137,0.74,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,5.0,results/models/gnn_3d_best_bottleneck_run5.pth,de1d90faa6c7,2025,
